"Time","dev-k8s-lc869-01","dev-k8s-lc869-02","dev-k8s-lc869-03","dev-k8s-lc869-04","dev-k8s-lc869-05","dev-k8s-lc869-06","dev-k8s-lc869-07","dev-k8s-lc869-08","dev-k8s-lc869-09","dev-k8s-lc869-10","dev-k8s-lc869-11","dev-k8s-lc869-12","dev-k8s-lc869-13","dev-k8s-lc869-14","dev-k8s-lc869-15","dev-k8s-lc869-16","dev-k8s-lc869-17","dev-k8s-lc869-18","dev-k8s-lc869-19"
1748374925000,1,1,0,1,0,1,0,1,0,1,0,2,1,0,1,2,2,0,2
1748374926000,1,1,0,1,0,1,0,1,0,0,0,2,1,0,1,2,2,0,2
1748374927000,1,1,0,1,0,1,0,0,0,0,0,2,1,0,0,2,2,0,2
1748374928000,1,1,0,1,0,1,0,0,0,0,0,2,1,0,0,2,2,0,2
1748374929000,1,1,0,1,0,0,0,0,0,0,0,2,1,0,0,2,2,0,2
1748374930000,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,2,0,2
1748374931000,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,2,0,2
1748374932000,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,2
1748374933000,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,2
1748374934000,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,2
1748374935000,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0
1748374936000,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
1748374937000,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
1748374938000,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
1748374939000,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
1748374940000,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
1748374941000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1748374942000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374943000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374944000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374945000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374946000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374947000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374948000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374949000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374950000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374951000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374952000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374953000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374954000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374955000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374956000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374957000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374958000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374959000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374960000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
